case_id,activity,timestamp,customer_id,warehouse,order_value
ORD00001,Order Created,2026-03-04 11:08:00,CUST0655,WH_NORTH,2690.2
ORD00001,Credit Check,2026-03-05 03:15:00,CUST0655,WH_NORTH,2690.2
ORD00001,Order Approved,2026-03-05 03:57:00,CUST0655,WH_NORTH,2690.2
ORD00001,Picking,2026-03-05 05:13:00,CUST0655,WH_NORTH,2690.2
ORD00001,Rework,2026-03-05 09:04:00,CUST0655,WH_NORTH,2690.2
ORD00001,Picking,2026-03-05 11:03:00,CUST0655,WH_NORTH,2690.2
ORD00001,Packing,2026-03-05 13:42:00,CUST0655,WH_NORTH,2690.2
ORD00001,Shipping,2026-03-05 17:16:00,CUST0655,WH_NORTH,2690.2
ORD00001,Delivery,2026-03-06 06:03:00,CUST0655,WH_NORTH,2690.2
ORD00001,Invoice Created,2026-03-06 09:36:00,CUST0655,WH_NORTH,2690.2
ORD00001,Payment,2026-03-13 10:14:00,CUST0655,WH_NORTH,2690.2
ORD00002,Order Created,2026-03-29 12:09:00,CUST0460,WH_EAST,1618.72
ORD00002,Credit Check,2026-03-29 12:51:00,CUST0460,WH_EAST,1618.72
ORD00002,Order Approved,2026-03-30 01:06:00,CUST0460,WH_EAST,1618.72
ORD00002,Picking,2026-03-30 02:55:00,CUST0460,WH_EAST,1618.72
ORD00002,Packing,2026-03-30 04:32:00,CUST0460,WH_EAST,1618.72
ORD00002,Shipping,2026-03-30 11:00:00,CUST0460,WH_EAST,1618.72
ORD00002,Delivery,2026-04-01 18:21:00,CUST0460,WH_EAST,1618.72
ORD00002,Invoice Created,2026-04-01 20:27:00,CUST0460,WH_EAST,1618.72
ORD00002,Payment,2026-04-06 21:20:00,CUST0460,WH_EAST,1618.72
ORD00003,Order Created,2026-01-12 11:49:00,CUST0301,WH_EAST,3035.56
ORD00003,Credit Check,2026-01-12 12:41:00,CUST0301,WH_EAST,3035.56
ORD00003,Order Approved,2026-01-12 13:21:00,CUST0301,WH_EAST,3035.56
ORD00003,Picking,2026-01-12 15:12:00,CUST0301,WH_EAST,3035.56
ORD00003,Packing,2026-01-12 17:15:00,CUST0301,WH_EAST,3035.56
ORD00003,Shipping,2026-01-12 23:45:00,CUST0301,WH_EAST,3035.56
ORD00003,Delivery,2026-01-15 00:00:00,CUST0301,WH_EAST,3035.56
ORD00003,Invoice Created,2026-01-15 03:29:00,CUST0301,WH_EAST,3035.56
ORD00003,Payment,2026-01-16 22:58:00,CUST0301,WH_EAST,3035.56
ORD00004,Order Created,2026-02-11 15:24:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Credit Check,2026-02-11 16:13:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Order Approved,2026-02-11 18:55:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Picking,2026-02-11 22:41:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Packing,2026-02-11 23:25:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Shipping,2026-02-12 01:23:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Delivery,2026-02-12 21:04:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Invoice Created,2026-02-12 22:42:00,CUST0624,WH_SOUTH,6114.53
ORD00004,Payment,2026-02-14 16:46:00,CUST0624,WH_SOUTH,6114.53
ORD00005,Order Created,2026-04-12 15:09:00,CUST0217,WH_EAST,1499.19
ORD00005,Credit Check,2026-04-13 06:31:00,CUST0217,WH_EAST,1499.19
ORD00005,Order Approved,2026-04-13 09:08:00,CUST0217,WH_EAST,1499.19
ORD00005,Picking,2026-04-13 15:07:00,CUST0217,WH_EAST,1499.19
ORD00005,Packing,2026-04-13 17:09:00,CUST0217,WH_EAST,1499.19
ORD00005,Shipping,2026-04-13 19:05:00,CUST0217,WH_EAST,1499.19
ORD00005,Delivery,2026-04-14 17:55:00,CUST0217,WH_EAST,1499.19
ORD00005,Invoice Created,2026-04-14 18:48:00,CUST0217,WH_EAST,1499.19
ORD00005,Payment,2026-04-16 22:37:00,CUST0217,WH_EAST,1499.19
ORD00006,Order Created,2026-01-17 14:24:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Credit Check,2026-01-17 15:55:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Order Approved,2026-01-17 18:14:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Picking,2026-01-17 23:57:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Packing,2026-01-18 00:29:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Shipping,2026-01-18 04:23:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Delivery,2026-01-19 15:39:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Invoice Created,2026-01-19 19:25:00,CUST0157,WH_SOUTH,1499.21
ORD00006,Payment,2026-01-24 16:18:00,CUST0157,WH_SOUTH,1499.21
ORD00007,Order Created,2026-01-01 12:32:00,CUST0115,WH_EAST,6395.63
ORD00007,Credit Check,2026-01-01 14:24:00,CUST0115,WH_EAST,6395.63
ORD00007,Order Approved,2026-01-01 15:29:00,CUST0115,WH_EAST,6395.63
ORD00007,Picking,2026-01-01 17:23:00,CUST0115,WH_EAST,6395.63
ORD00007,Packing,2026-01-01 20:02:00,CUST0115,WH_EAST,6395.63
ORD00007,Shipping,2026-01-02 02:58:00,CUST0115,WH_EAST,6395.63
ORD00007,Delivery,2026-01-03 13:24:00,CUST0115,WH_EAST,6395.63
ORD00007,Invoice Created,2026-01-03 16:12:00,CUST0115,WH_EAST,6395.63
ORD00007,Payment,2026-01-04 16:21:00,CUST0115,WH_EAST,6395.63
ORD00008,Order Created,2026-04-03 12:15:00,CUST0614,WH_EAST,3340.74
ORD00008,Credit Check,2026-04-03 12:37:00,CUST0614,WH_EAST,3340.74
ORD00008,Order Approved,2026-04-03 13:58:00,CUST0614,WH_EAST,3340.74
ORD00008,Picking,2026-04-04 04:55:00,CUST0614,WH_EAST,3340.74
ORD00008,Packing,2026-04-04 07:41:00,CUST0614,WH_EAST,3340.74
ORD00008,Shipping,2026-04-04 14:41:00,CUST0614,WH_EAST,3340.74
ORD00008,Delivery,2026-04-05 23:26:00,CUST0614,WH_EAST,3340.74
ORD00008,Invoice Created,2026-04-06 02:16:00,CUST0614,WH_EAST,3340.74
ORD00008,Payment,2026-04-08 23:21:00,CUST0614,WH_EAST,3340.74
